id_argument;form_repr;sem_restr;oblig;id_colloc;id_verb
1;Noun (nominative);одушевленный;0;2;1
2;Noun (nominative);одушевленный;0;3;1
3;бегать;-;1;3;1
4;{Adverb / Prep. куда + Noun };-;0;3;1
5;Noun (nominative);одушевленный;0;4;1
6;бегать;-;1;4;1
7;{Adverb / Prep. где + Noun };-;0;4;1
8;Noun (nominative);одушевленный;0;5;1
9;бегать;-;1;5;1
10;Prep. траект + Noun ;-;0;5;1
11;Noun (nominative);одушевленный;0;6;1
12;бегать;-;1;6;1
13;на + Noun (accusative);-;0;6;1
14;Noun (nominative);лицо;0;7;1
15;бегать;-;1;7;1
16;на + Noun loc;транспортное средство;0;7;1
17;Noun (nominative);одушевленный;0;8;1
18;бегать;-;1;8;1
19;Prep. откуда + Noun ;-;0;8;1
20;Prep. куда + Noun ;-;0;8;1
21;Noun (nominative);часть тела;0;9;1
22;бегать;-;1;9;1
23;у + Noun (genitive);одушевленный;0;9;1
24;Noun (nominative);лицо;0;10;1
25;бегать;-;1;10;1
26;от + Noun (genitive);-;0;10;1
27;Noun (nominative);часть тела;0;11;1
28;бегать;-;1;11;1
29;по + Noun (dative);-;0;11;1
30;Noun (nominative);часть тела;0;12;1
31;бегать;-;1;12;1
32;по + Noun (dative);-;0;12;1
33;Noun (nominative);неодушевленный;0;13;1
34;бегать;-;1;13;1
35;по + Noun (dative);-;0;13;1
36;Noun (nominative);одушевленный;0;14;1
37;бегать;-;1;14;1
38;Noun (instrumental);часть тела;0;14;1
39;по + Noun (dative);-;0;14;1
40;Noun (nominative);лицо;0;15;1
41;мурашки;;0;16;1
42;Noun (nominative);лицо;0;17;1
43;Noun (nominative);одушевленный;0;19;1
44;Noun (nominative);одушевленный;0;20;2
45;бежать;-;1;20;2
46;Noun (nominative);одушевленный;0;21;2
47;бежать;-;1;21;2
48;{Adverb / Prep. откуда + Noun };-;0;21;2
49;Noun (nominative);одушевленный;0;22;2
50;бежать;-;1;22;2
51;{Adverb / Prep. куда + Noun };-;0;22;2
52;Noun (nominative);одушевленный;0;23;2
53;бежать;-;1;23;2
54;Prep. траект + Noun ;-;0;23;2
55;Noun (nominative);одушевленный;0;24;2
56;бежать;-;1;24;2
57;на + Noun (accusative);-;0;24;2
58;Noun (nominative);одушевленный;0;25;2
59;бежать;-;1;25;2
60;за + Noun (instrumental);-;0;25;2
61;Noun (nominative);одушевленный;0;26;2
62;бежать;-;1;26;2
63;Verb (infinitive);-;0;26;2
64;Noun (nominative);лицо;0;27;2
65;бежать;-;1;27;2
66;Noun (instrumental);-;0;27;2
67;{Adverb / Prep. где + Noun };-;0;27;2
68;Noun (nominative);лицо;0;28;2
69;бежать;-;1;28;2
70;Noun (instrumental);-;0;28;2
71;Noun (nominative);лицо;0;29;2
72;бежать;-;1;29;2
73;Noun (instrumental);-;0;29;2
74;Prep. траект + Noun ;-;0;29;2
75;Noun (nominative);лицо;0;30;2
76;бежать;-;1;30;2
77;{Adverb / Prep. где + Noun };-;0;30;2
78;Noun (nominative);лицо;0;31;2
79;бежать;-;1;31;2
80;{Adverb / Prep. куда + Noun };-;0;31;2
81;Verb (infinitive);-;0;31;2
82;Noun (nominative);лицо;0;32;2
83;бежать;-;1;32;2
84;на + Noun (accusative);-;0;32;2
85;Noun (nominative);одушевленный;0;33;2
86;бежать;-;1;33;2
87;{Adverb / Prep. куда + Noun };?;0;33;2
88;Noun (nominative);одушевленный;0;34;2
89;бежать;-;1;34;2
90;{Adverb / Prep. куда + Noun };-;0;34;2
91;за + Noun (instrumental);-;0;34;2
92;Noun (nominative);лицо;0;35;2
93;бежать;-;1;35;2
94;за + Noun (instrumental);-;0;35;2
95;{Adverb / Prep. траект + Noun };-;0;35;2
96;Noun (nominative);одушевленный;0;36;2
97;бежать;-;1;36;2
98;{Adverb / Prep. куда + Noun };-;0;36;2
99;{Adverb / Prep. траект + Noun };-;0;36;2
100;Noun (nominative);одушевленный;0;37;2
101;бежать;-;1;37;2
102;Noun (nominative);одушевленный;0;38;2
103;бежать;-;1;38;2
104;{Adverb / Prep. откуда + Noun };-;0;38;2
105;Noun (nominative);одушевленный;0;39;2
106;бежать;-;1;39;2
107;{Adverb / Prep. куда + Noun };-;0;39;2
108;Noun (nominative);одушевленный;0;40;2
109;бежать;-;1;40;2
110;от + Noun (genitive);-;0;40;2
111;Noun (nominative);лицо;0;41;2
112;бежать;-;1;41;2
113;{Adverb / Prep. откуда + Noun };-;0;41;2
114;{Adverb / Prep. куда + Noun };-;0;41;2
115;Noun (nominative);лицо;0;42;2
116;бежать;-;1;42;2
117;от + Noun (genitive);-;0;42;2
