lemma	ipm	r	d	doc	dicts
абсолютизировать	0.5	30	78	41	0
абстрагировать	0.4	18	72	25	1
абстрагироваться	1.0	51	85	76	1
автоматизировать	2.1	57	83	167	1
агитировать	3.0	84	91	212	1
агонизировать	0.5	36	85	47	1
адаптировать	3.8	67	88	313	1
адаптироваться	4.0	82	90	301	0
адресовать	11.1	98	93	679	2
адресоваться	1.6	67	90	125	0
адсорбировать	1.7	16	59	49	0
акклиматизироваться	0.5	32	83	41	0
аккомпанировать	2.5	67	88	140	1
аккредитовать	1.9	53	85	133	1
аккумулировать	2.1	62	89	177	1
аккумулироваться	0.6	33	82	50	0
активизировать	4.9	71	89	388	1
активизироваться	3.7	73	89	302	1
активировать	1.3	35	75	73	0
актуализировать	1.2	36	78	71	0
актуализироваться	0.8	28	72	52	0
акцентировать	3.9	81	87	275	2
акцентироваться	0.6	34	80	45	0
акционировать	0.5	33	84	47	0
алеть	1.3	54	88	91	0
алкать	1.3	61	88	104	1
амнистировать	1.0	40	80	58	0
амортизировать	0.6	35	80	45	0
амплифицировать	1.0	8	57	45	0
ампутировать	1.4	61	87	95	0
анализировать	20.8	99	87	1198	1
анализироваться	3.5	54	80	247	0
ангажировать	0.6	37	84	48	1
аннулировать	2.1	69	88	161	1
анонсировать	1.4	53	87	119	0
апеллировать	3.4	76	91	259	1
аплодировать	7.8	88	91	383	4
апробировать	1.8	49	80	137	0
аранжировать	0.4	27	81	33	0
аргументировать	2.2	68	89	171	1
арендовать	8.1	91	90	492	2
арестовать	40.7	99	92	1178	4
арестовывать	7.4	87	91	356	3
арестовываться	0.5	24	75	31	0
армировать	0.7	30	76	43	0
артачиться	0.4	28	82	35	0
артикулировать	0.8	40	82	62	1
ассигновать	0.5	30	80	38	1
ассимилировать	0.7	27	76	43	1
ассимилироваться	0.5	33	82	40	1
ассистировать	1.3	48	78	70	1
ассоциировать	1.8	56	85	136	0
ассоциироваться	7.2	95	92	553	1
асфальтировать	1.4	68	89	107	1
атаковать	14.9	98	90	632	3
атрофироваться	0.6	40	85	47	0
аттенуировать	0.7	9	57	19	0
аттестовать	1.8	62	85	116	2
аукаться	0.6	34	81	40	0
аукнуться	1.2	60	88	93	0
афишировать	1.9	70	90	159	1
афишироваться	0.4	28	82	36	0
аффилировать	0.9	27	57	44	0
ахать	3.4	79	90	224	0
ахнуть	12.3	88	90	524	0
бабахнуть	0.9	43	84	69	0
багроветь	1.4	43	84	98	0
базарить	1.0	38	81	61	0
базироваться	12.6	79	87	853	1
балагурить	0.9	43	85	66	0
балакать	0.5	21	74	26	0
балансировать	3.8	93	93	292	1
балдеть	1.5	54	88	105	0
баллотироваться	4.5	70	82	260	1
баловать	5.8	93	93	403	1
баловаться	4.4	86	91	293	1
банкротить	0.5	24	75	34	0
барабанить	2.7	69	88	180	2
барахлить	1.2	53	87	95	0
барахтаться	3.3	84	91	243	0
басить	1.1	48	84	78	0
бастовать	1.9	67	88	113	1
батрачить	0.5	33	83	41	0
бахвалиться	0.5	33	83	38	0
баюкать	1.1	49	86	90	0
баять	0.4	21	77	24	0
бдеть	0.9	39	84	63	1
бегать	59.2	99	93	1848	5
беднеть	0.4	30	82	35	0
бедствовать	2.3	75	90	166	0
бежать	143.6	100	93	2758	5
бездействовать	1.8	75	91	142	0
бездельничать	1.5	63	89	117	1
безмолвствовать	2.1	72	90	161	0
безобразничать	1.1	47	85	73	0
безумствовать	0.7	43	86	56	1
белеть	8.9	86	89	425	1
белить	1.5	65	88	111	1
бередить	1.5	63	89	110	1
беременеть	0.8	29	61	38	0
беречь	23.4	100	95	1095	5
беречься	4.3	85	87	257	1
беседовать	33.8	99	95	1444	6
бесить	3.6	85	85	230	0
беситься	3.2	78	89	218	1
бесноваться	2.1	75	90	161	0
беспокоить	21.7	100	96	1103	4
беспокоиться	28.1	99	93	1113	6
бесчинствовать	1.0	47	86	80	0
бинтовать	0.7	35	82	41	0
бить	107.5	100	94	2640	4
биться	33.4	100	94	1369	4
бичевать	0.9	51	88	66	1
благоволить	2.1	74	88	145	0
благоговеть	1.1	48	85	79	0
благодарить	31.4	100	94	1349	6
благодарствовать	0.8	36	83	57	0
благоденствовать	0.8	44	84	59	0
благоприятствовать	1.8	66	88	146	1
благословить	8.3	94	85	425	1
благословлять	4.0	84	89	256	1
благоустроить	1.0	56	87	83	0
благоухать	3.9	87	91	268	0
блаженствовать	1.5	62	88	109	0
блажить	0.4	24	78	27	0
бланшировать	0.6	8	19	9	0
блевать	1.7	53	86	105	0
бледнеть	5.0	89	92	331	2
блекнуть	0.7	44	86	63	1
блеснуть	10.2	92	91	525	0
блестеть	27.8	99	91	1028	4
блефовать	1.2	42	81	69	0
блеять	1.3	60	87	101	0
близиться	4.7	91	92	308	0
бликовать	0.5	33	83	43	0
