id_verb;lemma;ipm;r;d;doc;dicts
1;бегать;59.2;99;93;1848;5
2;бежать;143.6;100;93;2758;5
3;беречь;23.4;100;95;1095;5
4;беседовать;33.8;99;95;1444;6
5;беспокоиться;28.1;99;93;1113;6
6;благодарить;31.4;100;94;1349;6
7;болеть1;68.5;100;94;2119;5
8;болеть2;68.5;100;94;2119;5
9;бороться;70.3;100;95;3191;5
10;бояться;266.5;100;94;4549;6
11;брать;226.3;100;96;5836;5
12;бросать;56.2;100;95;1933;5
13;будить;15.1;96;92;719;6
14;быть;12160.7;100;98;34184;5
15;варить;29.3;98;89;952;6
16;везти;47;100;95;1702;5
17;верить;197.1;100;96;4336;6
18;вернуть;68.5;100;96;2699;5
19;вернуться;311.2;100;96;5844;5
20;вести;280.3;100;98;7897;5
21;вешать;12;98;93;701;7
22;видеть;818.2;100;96;9914;7
23;висеть;81.3;100;93;2128;5
24;владеть;45.7;100;96;2244;7
25;внести;57.4;100;93;3312;5
26;возвращать;20.7;100;96;1206;6
27;возвращаться;125.8;100;96;3667;6
28;возражать;30.2;99;95;1256;6
29;возразить;34.9;98;92;1153;5
30;волновать;33.1;100;96;1577;5
31;волноваться;49.9;99;94;1465;6
32;воспитывать;20.8;100;94;1037;5
33;восстановить;37.8;100;95;1972;5
34;восхищаться;16.7;98;95;800;5
35;вручать;8.5;96;94;533;5
36;вспоминать;135.9;100;96;3532;6
37;вставать;69.1;100;95;2253;6
38;встать;172.1;100;93;3548;5
39;встретить;113.5;100;96;3378;6
40;встретиться;88.1;100;96;2768;5
41;встречать;77.4;100;96;2613;5
42;встречаться;106.8;100;96;3750;5
43;вступать;40.9;100;94;2098;6
44;входить;157.9;100;96;6332;6
45;выбирать;65.2;100;97;3122;7
46;выбрать;107.9;100;96;4748;5
47;выбросить;32.4;100;94;1311;5
48;вывести;53.4;100;97;2495;5
49;выводить;25.2;100;97;1401;5
50;выдавать;44.1;100;96;2104;5
51;выезжать;19.5;100;95;1080;5
52;вызывать;142.4;100;97;5228;5
53;выиграть;52.3;100;91;2239;5
54;выигрывать;13.9;100;91;822;5
55;выйти;480.9;100;96;8764;5
56;выключать;5;94;91;354;5
57;вынимать;12.7;99;93;675;5
58;выносить;28.6;100;94;1471;5
59;вынуть;37.8;98;91;1088;5
60;выписывать;9.8;98;95;632;6
61;выполнять;92.3;100;93;4098;6
62;выпускать;53.4;100;95;2638;5
63;вырасти;85.3;100;96;3787;5
64;выступать;138.8;100;93;5090;5
65;вытирать;15.5;93;90;717;5
66;выходить;201.6;100;97;5550;6
67;выяснять;13.3;98;95;810;5
68;гасить;6.8;95;93;451;5
69;гладить;19.1;97;91;747;5
70;говорить;1755;100;96;17120;6
71;голосовать;22.8;99;91;1054;5
72;гордиться;32.9;100;96;1532;5
73;гореть;76.6;100;93;2120;5
74;готовить;76.7;100;96;3180;5
75;готовиться;70.9;100;96;3092;5
76;давать;370.7;100;98;9941;7
77;дарить;22.3;100;94;1092;6
